Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,Loss,Accuracy
4,"max(min(x, 0), atanh(x))","min(x, 0)","max(x1, x2)",atanh(x),nan,0.10000000149011612
4,sinc(x) - 0,sinc(x),x1 - x2,0,nan,0.10000000149011612
4,exp(-x^2) * x**3,exp(-x^2),x1 * x2,x**3,1.8992847204208374,0.2150000035762787
4,log(1 + exp(x)) - sin(x),log(1 + exp(x)),x1 - x2,sin(x),0.904330849647522,0.6883999705314636
4,sqrt(x) * sin(x),sqrt(x),x1 * x2,sin(x),1.2093101739883423,0.5741999745368958
4,"max(min(x, 0), log(1 + exp(x)))","min(x, 0)","max(x1, x2)",log(1 + exp(x)),0.8290433883666992,0.7056000232696533
4,"min(cos(x), erf(x))",cos(x),"min(x1, x2)",erf(x),1.7326968908309937,0.4007999897003174
4,sin(x) / (x**2 + err),sin(x),x1 / (x2 + err),x**2,nan,0.10000000149011612
4,sinh(x) + sin(x),sinh(x),x1 + x2,sin(x),nan,0.10000000149011612
4,"max(x, 0) / ((1/(1 + exp(-x))) + err)","max(x, 0)",x1 / (x2 + err),(1/(1 + exp(-x))),0.8622886538505554,0.6937999725341797
4,"(1/(1 + exp(-x))) / (min(x, 0) + err)",(1/(1 + exp(-x))),x1 / (x2 + err),"min(x, 0)",nan,0.10000000149011612
4,asinh(x) + asinh(x),asinh(x),x1 + x2,asinh(x),0.9514985084533691,0.6678000092506409
4,"max(erf(x), cosh(x))",erf(x),"max(x1, x2)",cosh(x),nan,0.10000000149011612
5,1 - atanh(x),1,x1 - x2,atanh(x),nan,0.10000000149011612
5,x**2 * cosh(x),x**2,x1 * x2,cosh(x),nan,0.10000000149011612
5,erf(x) * x**3,erf(x),x1 * x2,x**3,2.302727222442627,0.10000000149011612
5,exp(-x^2) + (-x),exp(-x^2),x1 + x2,(-x),1.0394986867904663,0.6272000074386597
5,"x**2 + max(x, 0)",x**2,x1 + x2,"max(x, 0)",2.2428226470947266,0.16099999845027924
5,log(abs(x + err)) / (x + err),log(abs(x + err)),x1 / (x2 + err),x,nan,0.10000000149011612
5,"cos(x) + max(x, 0)",cos(x),x1 + x2,"max(x, 0)",0.9119864106178284,0.6794000267982483
5,0 / (log(1 + exp(x)) + err),0,x1 / (x2 + err),log(1 + exp(x)),2.302586317062378,0.10000000149011612
5,sqrt(x) * (1/(1 + exp(-x))),sqrt(x),x1 * x2,(1/(1 + exp(-x))),nan,0.10000000149011612
5,"min(erf(x), x)",erf(x),"min(x1, x2)",x,0.9995461106300354,0.6521999835968018
5,x**3 * x,x**3,x1 * x2,x,2.3026812076568604,0.10000000149011612
5,x**2 - tanh(x),x**2,x1 - x2,tanh(x),3.274052619934082,0.10199999809265137
5,"min(asinh(x), min(x, 0))",asinh(x),"min(x1, x2)","min(x, 0)",0.9932163953781128,0.651199996471405
5,log(abs(x + err)) * exp(x),log(abs(x + err)),x1 * x2,exp(x),nan,0.10000000149011612
5,sinh(x) + asinh(x),sinh(x),x1 + x2,asinh(x),nan,0.10000000149011612
5,atanh(x) + cos(x),atanh(x),x1 + x2,cos(x),nan,0.10000000149011612
5,atanh(x) - sinh(x),atanh(x),x1 - x2,sinh(x),nan,0.10000000149011612
5,log(abs(x + err)) + erf(x),log(abs(x + err)),x1 + x2,erf(x),nan,0.10000000149011612
5,sinc(x) + abs(x),sinc(x),x1 + x2,abs(x),nan,0.10000000149011612
