Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,Loss,Accuracy
5,"log(1 + exp(x)) * min(x, 0)",log(1 + exp(x)),x1 * x2,"min(x, 0)",4.006063938140869,0.09679999947547913
5,(-x) + sin(x),(-x),x1 + x2,sin(x),3.396609306335449,0.21459999680519104
5,x / (cos(x) + err),x,x1 / (x2 + err),cos(x),nan,0.009999999776482582
5,sin(x) + x,sin(x),x1 + x2,x,2.807467222213745,0.3057999908924103
5,"max(x, 0) + abs(x)","max(x, 0)",x1 + x2,abs(x),2.718883514404297,0.323199987411499
5,log(1 + exp(x)) - sinc(x),log(1 + exp(x)),x1 - x2,sinc(x),nan,0.009999999776482582
5,(1/(1 + exp(-x))) + log(1 + exp(x)),(1/(1 + exp(-x))),x1 + x2,log(1 + exp(x)),2.5941872596740723,0.35760000348091125
5,"min(x, x**3)",x,"min(x1, x2)",x**3,4.685227394104004,0.011599999852478504
5,(-x) + sqrt(x),(-x),x1 + x2,sqrt(x),nan,0.009999999776482582
5,"min(sin(x), max(x, 0))",sin(x),"min(x1, x2)","max(x, 0)",3.486999988555908,0.17560000717639923
5,x * (-x),x,x1 * x2,(-x),4.7625532150268555,0.015799999237060547
5,"max(x, 0) + log(abs(x + err))","max(x, 0)",x1 + x2,log(abs(x + err)),nan,0.009999999776482582
5,"max(log(1 + exp(x)), (-x))",log(1 + exp(x)),"max(x1, x2)",(-x),nan,0.009999999776482582
5,"max((-x), max(x, 0))",(-x),"max(x1, x2)","max(x, 0)",3.2000412940979004,0.24379999935626984
5,(-x) - sinc(x),(-x),x1 - x2,sinc(x),nan,0.009999999776482582
5,"min(log(1 + exp(x)), x**3)",log(1 + exp(x)),"min(x1, x2)",x**3,nan,0.009999999776482582
5,"min(log(1 + exp(x)), (1/(1 + exp(-x))))",log(1 + exp(x)),"min(x1, x2)",(1/(1 + exp(-x))),2.728713274002075,0.3303999900817871
5,"min(sinc(x), max(x, 0))",sinc(x),"min(x1, x2)","max(x, 0)",nan,0.009999999776482582
5,"max(1, sqrt(x))",1,"max(x1, x2)",sqrt(x),3.1015822887420654,0.25540000200271606
5,"min(x**3, (1/(1 + exp(-x))))",x**3,"min(x1, x2)",(1/(1 + exp(-x))),nan,0.009999999776482582
5,cos(x) - sin(x),cos(x),x1 - x2,sin(x),3.2125980854034424,0.22939999401569366
5,"min(atanh(x), max(x, 0))",atanh(x),"min(x1, x2)","max(x, 0)",nan,0.009999999776482582
5,cosh(x) - 0,cosh(x),x1 - x2,0,nan,0.009999999776482582
5,"max(0, sin(x))",0,"max(x1, x2)",sin(x),4.631534099578857,0.007799999788403511
5,sinh(x) + x,sinh(x),x1 + x2,x,nan,0.009999999776482582
